ACCNUM,DATE,TIME,HOUR,STREET1,STREET2,ROAD_CLASS,LATITUDE,LONGITUDE,LOCCOORD,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,INVTYPE,INVAGE,Age_mid,INJURY,VEHTYPE,DRIVACT,DRIVCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourhood
893184,2006/01/01 05:00:00+00,236,2,WOODBINE AVE,O CONNOR DR,Major Arterial,43.699595,-79.318797,Intersection,No Control,Clear,Dark,Wet,Non-Fatal Injury,Passenger,50 to 54,52,Major,Unknown,Unknown,Unknown,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,60,Woodbine-Lumsden (60)
909646,2006/01/01 05:00:00+00,315,3,DANFORTH AVE,WEST LYNN AVE,Major Arterial,43.684874,-79.316188,Intersection,No Control,Snow,"Dark, artificial",Slush,Non-Fatal Injury,Passenger,10 to 14,12,Minor,Unknown,Unknown,Unknown,No,No,Yes,No,No,No,No,No,No,No,No,No,64,Woodbine Corridor (64)
884090,2006/01/02 05:00:00+00,705,7,BATHURST ST,DUNDAS ST W,Major Arterial,43.652892,-79.406253,Mid-Block,No Control,Other,"Dark, artificial",Wet,Non-Fatal Injury,Driver,30 to 34,32,None,"Automobile, Station Wagon",Improper Lane Change,Inattentive,Yes,No,Yes,No,No,No,No,No,No,No,No,No,78,Kensington-Chinatown (78)
885782,2006/01/04 05:00:00+00,1940,19,DUFFERIN ST,SYLVAN AVE,Major Arterial,43.65514500000001,-79.43359,Mid-Block,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Driver,25 to 29,27,None,"Automobile, Station Wagon",Driving Properly,Normal,Yes,No,Yes,No,No,No,No,No,No,No,No,No,83,Dufferin Grove (83)
882079,2006/01/06 05:00:00+00,2210,22,DON MILLS RD,LEITH HILL RD,Major Arterial,43.777056,-79.347858,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,50 to 54,52,None,"Automobile, Station Wagon",Driving Properly,Normal,Yes,No,Yes,No,No,No,No,No,No,No,No,No,47,Don Valley Village (47)
882024,2006/01/07 05:00:00+00,2325,23,STEELES AVE E,NINTH LINE ST,Minor Arterial,43.842745,-79.22479,Mid-Block,No Control,Clear,Dark,Wet,Fatal,Driver,50 to 54,52,Fatal,"Automobile, Station Wagon",Lost control,Unknown,No,No,Yes,No,No,No,No,No,No,No,No,No,131,Rouge (131)
887568,2006/01/08 05:00:00+00,1507,15,PARLIAMENT ST,FRONT ST E,Minor Arterial,43.651496,-79.362697,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 44,42,Minimal,"Automobile, Station Wagon",Disobeyed Traffic Control,Normal,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,77,Waterfront Communities-The Island (77)
882497,2006/01/08 05:00:00+00,1828,18,ISLINGTON AVE,GOLFDOWN DR,Major Arterial,43.721445,-79.55809,Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian,10 to 14,12,Fatal,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,5,Elms-Old Rexdale (5)
882174,2006/01/09 05:00:00+00,1435,14,KENNEDY RD,GLAMORGAN AVE,Major Arterial,43.76944500000001,-79.28229,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian,75 to 79,77,Fatal,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No,No,No,126,Dorset Park (126)
886039,2006/01/09 05:00:00+00,1820,18,FINCH AVE E,MIDDLEFIELD RD,Major Arterial,43.809817,-79.257663,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Vehicle Owner,unknown,unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,No,No,No,Yes,No,No,No,No,No,No,129,Agincourt North (129)
884135,2006/01/10 05:00:00+00,804,8,BRIMLEY RD,GULLY DR,Major Arterial,43.743645,-79.25129,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,80 to 84,82,Minor,"Automobile, Station Wagon",Other,Medical or Physical Disability,No,No,Yes,No,No,No,No,No,No,No,No,Yes,127,Bendale (127)
882501,2006/01/11 05:00:00+00,1120,11,BARTLEY DR,JINNAH CRT,Collector,43.722045,-79.30799,Intersection,No Control,Clear,Daylight,Wet,Fatal,Passenger,15 to 19,17,Fatal,Other,Unknown,Unknown,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,43,Victoria Village (43)
882912,2006/01/14 05:00:00+00,904,9,WESTON RD,CORONADO CRT,Major Arterial,43.741045,-79.53989,Mid-Block,Pedestrian Crossover,Strong wind,Daylight,Ice,Non-Fatal Injury,Vehicle Owner,unknown,unknown,Unknown,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,22,Humbermede (22)
886573,2006/01/14 05:00:00+00,2058,20,EGLINTON AVE W,BRAEMAR AVE,Major Arterial,43.704345,-79.40959000000002,Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Driver,20 to 24,22,None,"Automobile, Station Wagon",Driving Properly,Normal,Yes,No,Yes,No,No,No,No,No,No,No,No,No,100,Yonge-Eglinton (100)
886552,2006/01/15 05:00:00+00,1812,18,3367 DUNDAS ST W,Unknown,Major Arterial,43.665545,-79.48289,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Driver,25 to 29,27,None,"Automobile, Station Wagon",Driving Properly,Normal,Yes,No,Yes,No,No,No,No,No,No,No,No,No,89,Runnymede-Bloor West Village (89)
887039,2006/01/17 05:00:00+00,1940,19,SHEPPARD AVE W,SENLAC RD,Major Arterial,43.758945,-79.42259,Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Driver,40 to 44,42,None,"Automobile, Station Wagon",Driving Properly,Normal,Yes,No,Yes,No,No,No,No,No,No,No,No,No,38,Lansing-Westgate (38)
886747,2006/01/17 05:00:00+00,2200,22,LAWRENCE AVE E,COLLINSGROVE RD,Minor Arterial,43.769145,-79.18279,Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Driver,55 to 59,57,None,"Automobile, Station Wagon",Failed to Yield Right of Way,Normal,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,136,West Hill (136)
892999,2006/01/17 05:00:00+00,2350,23,KING EDWARD AVE,BURRELL AVE,Local,43.690445,-79.31139,Mid-Block,No Control,Rain,Dark,Wet,Non-Fatal Injury,Vehicle Owner,unknown,unknown,None,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No,No,No,60,Woodbine-Lumsden (60)
886230,2006/01/21 05:00:00+00,1829,18,MIDLAND AVE,GOODLAND GT,Major Arterial,43.779345,-79.27559000000002,Intersection,No Control,Clear,Dusk,Dry,Fatal,Pedestrian,50 to 54,52,Fatal,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,128,Agincourt South-Malvern West (128)
884310,2006/01/22 05:00:00+00,230,2,460 CORONATION DR,Unknown,Collector,43.765045,-79.17039,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian,20 to 24,22,Major,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,136,West Hill (136)
884326,2006/01/22 05:00:00+00,1800,18,YONGE ST,CUMBERLAND ST,Major Arterial,43.671145,-79.38719,Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian,85 to 89,87,Major,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No,No,No,98,Rosedale-Moore Park (98)
884560,2006/01/24 05:00:00+00,145,1,WARDEN AVE,LAWRENCE AVE E,Major Arterial,43.745345,-79.29469,Intersection,Traffic Signal,Clear,Dawn,Dry,Fatal,Driver,35 to 39,37,Fatal,"Automobile, Station Wagon",Exceeding Speed Limit,Unknown,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,119,Wexford/Maryvale (119)
884756,2006/01/24 05:00:00+00,754,7,DEAN PARK RD,BRAYMORE BLVD,Collector,43.803445,-79.17069000000002,Intersection,Stop Sign,Clear,Daylight,Wet,Fatal,Pedestrian,75 to 79,77,Fatal,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,131,Rouge (131)
884714,2006/01/24 05:00:00+00,2220,22,MOUNT PLEASANT RD,WHITEHALL RD,Major Arterial,43.68404500000001,-79.38349000000002,Intersection,No Control,Rain,Dark,Wet,Fatal,Driver,45 to 49,47,Fatal,"Automobile, Station Wagon",Driving Properly,Normal,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,98,Rosedale-Moore Park (98)
887237,2006/01/27 05:00:00+00,2046,20,BLOOR ST W,CHRISTIE ST,Major Arterial,43.663545,-79.41839,Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Vehicle Owner,unknown,unknown,Unknown,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,80,Palmerston-Little Italy (80)
890325,2006/01/27 05:00:00+00,2301,23,NORTH YORK BLVD,BEECROFT RD,Collector,43.766545,-79.41429000000002,Mid-Block,Pedestrian Crossover,Clear,Dark,Dry,Non-Fatal Injury,Passenger,20 to 24,22,Major,Other,Unknown,Unknown,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,38,Lansing-Westgate (38)
885650,2006/01/29 05:00:00+00,2048,20,F G GARDINER XY W  W,KIPLING AVE,Unknown,43.618245,-79.52439,Mid-Block,No Control,Rain,Dark,Wet,Fatal,Pedestrian,15 to 19,17,Fatal,Other,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No,No,No,17,Mimico (includes Humber Bay Shores) (17)
